Title,Rating,Votes,Duration
489. Witness,7.4, (110K),1h 52m
490. Dressed to Kill,7.1, (54K),1h 44m
491. Following,7.4, (107K),1h 9m
492. Green Room,7.0, (149K),1h 35m
493. Phone Booth,7.1, (297K),1h 21m
494. Trauma,4.7, (3.5K),1h 46m
495. Alarum,3.3, (3.4K),1h 35m
496. The Stone,6.8, (455),2h 5m
497. Desperado,7.1, (205K),1h 44m
498. Jai Bhim,8.6, (228K),2h 44m
499. Glengarry Glen Ross,7.7, (123K),1h 40m
500. The Highwaymen,6.9, (111K),2h 12m
501. The Act of Killing,8.2, (43K),1h 57m
502. The Negotiator,7.3, (161K),2h 20m
503. Brothers,5.4, (14K),1h 29m
504. RoboCop,6.1, (246K),1h 57m
505. Wall Street,7.3, (171K),2h 6m
506. Fallen Angels,7.5, (57K),1h 39m
507. Midnight Run,7.5, (100K),2h 6m
508. The French Connection,7.7, (146K),1h 44m
509. Wicked Little Letters,7.0, (40K),1h 40m
"510. Blood In, Blood Out",7.9, (37K),3h
511. Central Intelligence,6.3, (229K),1h 47m
512. Animal Kingdom,7.2, (62K),1h 53m
513. Boneyard,4.1, (5.4K),1h 36m
514. Rush Hour 3,6.2, (194K),1h 31m
516. Body Double,6.8, (43K),1h 54m
517. Four Brothers,6.8, (165K),1h 49m
518. Get Shorty,6.9, (95K),1h 45m
519. T2 Trainspotting,7.1, (139K),1h 57m
520. Frequency,7.4, (121K),1h 58m
521. The Jackal,6.4, (130K),2h 4m
522. Despicable Me 2,7.3, (448K),1h 38m
523. Blood Simple,7.5, (111K),1h 39m
524. Rounders,7.3, (166K),2h 1m
525. Ocean's Thirteen,6.9, (380K),2h 2m
526. Last Seen Alive,5.7, (34K),1h 35m
527. Miami Vice,6.1, (128K),2h 12m
528. The Next Three Days,7.3, (213K),2h 13m
529. All the Money in the World,6.8, (95K),2h 12m
530. Bad Boys II,6.6, (283K),2h 27m
531. The Night of the Hunter,8.0, (104K),1h 32m
532. Eye for an Eye,6.2, (22K),1h 41m
533. Runaway Jury,7.1, (117K),2h 7m
534. In Secret,6.1, (10K),1h 47m
535. King of New York,6.9, (46K),1h 43m
536. The Player,7.5, (70K),2h 4m
537. The Hangover Part III,5.9, (352K),1h 40m
538. Blue Ruin,7.1, (84K),1h 30m
539. Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.5, (66K),1h 29m
540. The Devil's Own,6.2, (75K),1h 51m
541. Master,7.4, (88K),2h 59m
542. 2 Guns,6.7, (233K),1h 49m
543. Risky Business,6.8, (106K),1h 39m
544. Body Heat,7.4, (43K),1h 53m
545. Rashomon,8.1, (192K),1h 28m
546. The Bank Job,7.2, (195K),1h 51m
547. Sharper,6.7, (37K),1h 56m
548. Thunderbolt and Lightfoot,7.0, (31K),1h 55m
549. Richard Jewell,7.5, (104K),2h 11m
550. Go,7.2, (78K),1h 42m
551. Pain Hustlers,6.6, (53K),2h 3m
552. What Happened to Monday,6.8, (141K),2h 3m
553. Bronson,7.0, (146K),1h 32m
554. Streets of Fire,6.7, (26K),1h 33m
555. Hitman,6.2, (184K),1h 34m
556. The Adjustment Bureau,7.0, (278K),1h 46m
557. A Prophet,7.8, (106K),2h 35m
558. Untold,4.1, (201),1h 47m
559. It's a Mad Mad Mad Mad World,7.5, (50K),3h 30m
560. Rambo: Last Blood,6.1, (116K),1h 29m
561. Hackers,6.2, (79K),1h 45m
562. John Q,7.1, (150K),1h 56m
563. House of Gucci,6.6, (170K),2h 38m
564. Grosse Pointe Blank,7.3, (103K),1h 47m
565. Pink Flamingos,6.0, (30K),1h 33m
566. Double Indemnity,8.3, (176K),1h 47m
567. The Rivals of Amziah King,8.3, (159),2h 10m
568. Out of Sight,7.0, (104K),2h 3m
569. Chappie,6.8, (279K),2h
570. The Woman in the Window,5.7, (88K),1h 40m
571. See How They Run,6.5, (71K),1h 38m
572. Honest Thief,6.0, (62K),1h 39m
573. Green Street Hooligans,7.4, (168K),1h 49m
574. Point Break,5.3, (68K),1h 54m
575. The Chaser,7.8, (78K),2h 5m
576. Funny Games,6.5, (108K),1h 51m
577. Cool Hand Luke,8.0, (195K),2h 7m
578. The Ghost Writer,7.2, (175K),2h 8m
579. Taken 2,6.2, (333K),1h 32m
580. Despicable Me 3,6.3, (172K),1h 29m
581. Ghost Killer,6.3, (455),1h 45m
582. Ambulance,6.1, (109K),2h 16m
583. Enola Holmes 2,6.8, (112K),2h 9m
584. Changeling,7.7, (272K),2h 21m
585. Entrapment,6.3, (128K),1h 53m
586. Once Upon a Time in Mexico,6.3, (174K),1h 42m
587. Department Q: The Keeper of Lost Causes,7.2, (35K),1h 36m
588. Street Kings,6.8, (125K),1h 49m
589. Halloween,6.5, (180K),1h 46m
590. 21 Grams,7.6, (251K),2h 4m
591. The Girl with the Dragon Tattoo,7.8, (228K),2h 32m
592. Emily the Criminal,6.7, (65K),1h 37m
593. Almost Cops,4.9, (2.7K),1h 35m
594. Daredevil,5.3, (238K),1h 43m
595. The Losers,6.2, (110K),1h 37m
